Address,City,Degree,Experience,Feedback,Fees,Name,Rating,Specialization
" Dr. Renu Mahtani's Autoimmunity Treatment Centre, Dr. Renu Mahtani's Autoimmunity Treatment Centre",Pune,"MBBS, MD - Medicine",33,"Post the birth of my baby, I was suffering from diarrhoea and head aches. Typically i reduced my diet to mere shreds of food assuming that I must be eating something wrong or acidity. It was a challenge to look after a baby, feeding and tackle the health issue. A time frame of 1 year slipped before I thought that things are going beyond control. ,I had arthritis diagnosed in Nov 2019. Not able to walk or normal routine work. Initially gone thru allopathic treatment but since its autoimmune disease  i decided to go for autoimune treatment.  Thankfull to Renu madam, I m no more fealing pain. My rheumatoid  problem gone down. Just taking vitamins as prescribed.,Very good quick diagnosis. Absolute integrity. Gives the right advice. Has a holistic approach towards curing the patient. Has a very positive optimistic personality which instills confidence in the patient,Dr Renu is very friendly and understanding and makes us feel good of what we are and gives feasible suggestions ",700,Dr. Renu Mahtani,5.0,General Physician
Healthcare Clinic,Pune,"MBBS, Post Graduate Diploma in Sports Medicine",38,"Doctor was patient and understood the problems. If he could smile more, it would be more pleasing and wonderful.,Dr. Mehta was very receptive and help me understand the problems. Would definitely recommend Dr. Mehta.,Doctor (col) Mehta is highly professional . I was suffering from fever and body ache for more than a week . I got complete relief from that ailment without consuming much medicine. Doctor understood my problem precisely and recommended few changes in my dietary which helped me perfectly. ,Must see him",500,Dr. (Colonel) A.K Mehta,5.0,Sports Medicine Specialist
Sigma Healthcare Clinic,Pune,"MBBS, Diploma in Tuberculosis Diseases (TDD), Diploma in Tuberculosis and Chest Diseases (DTCD)",14,"He's very polite, friendly and spot with treatment, prescription, tests whichever are required for us.really happy to get treatment from you sir.Thanks,Shalabh Dixit,After visiting with Doctor Feels Genue with treatment and his words over our query is really good. Best doctor for Heart realted issues.  ,I was suffering from heavy cough and phelgm coming out from the nose and mouth. I went to him is a condition where I was coughing whole night. He gave me perfect medicine to allow the phelgm to come out and not supress it. , Also I want to mention here is that I am an Ulcerative Colitis Patient. Hence I cannot take heavy high power medicines. His line of treatment was such that he took care not to upset my stomach at the same time aim for curing my condition. I am very happy with his treatment. ,I am quite satisfied with the dr Rahul treatment. He listen the problem patiently and was able to identified the exact problem accurately..",500,Dr. Rahul Chavan,5.0,General Physician
Umarji Mother & Child Care,Pune,"MBBS, MD - General Medicine",43,"Doctor was quite friendly and he gave adequate time to see all the reports which I had taken to him.I have a stone in fall bladder and vit d deficiency was also diagnosed.An enzyme in my liver got increased 3 times so I was quite worried about that.He correlated it with Vit d deficiency.I probed about it little more as to how it is related to Vit d.His explanation was quite convincing.,Doctor listened our all problems patiently and checked all reports according to that he gave medicines... Excellent doctor...Thank you.,We not statify with the doctor we went for the illnesses from fever and acidity and sevear stomach pain ,He is a very senior Dr. and this was the first time I visited the hospital with complaints of chest pain and consistent cough. Had taken the X ray Film with me without the report, considering that being a senior Dr. he will be able to read the Xray Film, since the report was unavailable, Dr. was still asking for the report to confirm from the Radiologist if any issue with it. The Dr is friendly and will attend to your queries nicely but could have been better though.",600,Dr. Pramod B. Umarji,4.5,General Physician
Apollo Clinic,Pune,"MBBS, MD - Medicine",24," I would like to recommend this doctor to others. The staff did not give proper information about doctor timing and I waited for 2 hours. I would like to give a rating of 7/10 to the hospital. I went for neck pain treatment and was satisfied with the doctor 's treatment.,My father had gone through cardiac surgery and doctor supported and guided in proper direction. Very much Happy about care taken.,I had to wait for the doctor for 1 HR. this is highly unprofessional. I had appointment at 11.30 and the doctor came at 12.30.there is no value of the patient's time by the doctor.,I have bad experience of this Dr. He waited me 2 hrs to see him. Also my treatment goes long till 2 weeks., ",550,Dr. Govind Kulkarni,3.5,General Physician
Apollo Clinic,Pune,"DNB - General Medicine, FCPS - Medicine, MBBS",18,"Dr Suruchi treats with love, patience and compassion - She us a true healer.I call her an angel of God. She heard everything nicely and asked questions about the ailment.She gave suggestions which are beyond medicine and are a treasure if they come from a doctor.I felt so cared and protected when I was with her.May God bless Dr. Suruchi and all her loved ones.,Her compassion and patience are quiet evidently demonstrated while describing the cause of my situation and the way to take care of it. ,Very professional service at the clinic, doctor is really good very polite and motherly , immediate relief after one dosage of medicine ,very much convinced with the service just at the premises if they can improve parking for four wheeler would be really very convenient...,I visited doctor on 25th Jan. she is very compassionate. her staff is good and helpful too. she listened to my problems and suggested a comprehensive treatment for the problems and provided a medical certificate as well..Thanks for your time doctorPiyush ",500,Dr. Suruchi Mandrekar,3.5,General Physician
Olive Health Center,Pune,"BHMS, MD - Homeopathy, Certificate in Cosmetology",22,"very nice doctor,she got relief in 3 days and prescribed further treatment,Excellent doctor. You can rely on her for your kids health totally. Very friendly and reliable. She listens to all your problems with complete history of the illness without worrying about time. We have started visiting her when my daughter's (3 year old) allergic condition was quite critical and she used to fall sick almost every other week. With Geeta mam's treatment we are very relieved now. In addition to allergic treatment she also worked on building immunity for my daughter. She is the , family doctor for us now.,Very satisfying experience with our consultation and treatment with Dr. Geeta Parwani at Prudent International Health Clinic, Pune. The doctor was well informed and has excellent bedside manners. She put my son at ease (he was very apprehensive). With careful examination she ruled out any major problem and put our worries to rest. We were given adequate time with a detailed explanation into the problem. This has been a chronic problem with many doctors consulted in the past. I am looking forward to a resolution to this with Dr. Geeta Parwani's treatment. I feel he is in able hands.,She never took my history. Just based on symptoms and was given set of bottles which I already use to buy on my own when I would have any such issues. Hence I didn't see any point of why I should have gone to her in the 1st place.",500,Dr. Geeta N Parwani,4.5,Homoeopath
Kulkarni Clinic,Pune,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD)",17,"Excellent interaction. Dr. Is professional in approach. His advice communicate satisfactorily with the patients. ,I had  allergic cough.I had 6/7 sleepless nights.,He is very Apt and explain everything clearly.he will always make you feel comfortable,I was having cough for more than 1.5 months and I consulted 3 different doctors.. but no improvement. I came to know about Kulkarni sir and I visited the clinic, after performing some blood tests, doctor told it is allergic cough and gave medicine for the same.. now am not getting cough..., Thankyou Milind Kulkarni sir. ",500,Dr. Milind Kulkarni,5.0,General Physician
Healthspring Clinic,Pune,MBBS,20,"Dr Beena was polite and spent lot of time understanding the problem. She did not recommend any antibiotic as it was not deemed necessary. She correctly diagnosed the issue and her medicines have made an immediate impact. I am feeling much better in few hours.,It was good and informative she is not recommending much of medicine. She recommended a couple of things and had an x-ray post that nothing worry over there pretty good experience was there. It was my first visit. She was casual, friendly and informative. she was listening to the problem, she can listen more and react of that slow. I went with my wife she was the patient over there. Small clinic, places are bit small to accommodate many patients, waiting time is a bit much even though your on time you have to wait for number to come.,It was pretty good and she told me what was the issue, why it is getting and what I need to do to cure that, it was good. Feeling uneasiness and cough, during coughing I got drenched of my blood, so did a blood test. waiting time not much. The nursing staff were normal, everything was good.,Didn't meet the doctor even after a confirmed appointment. My appointment was at 2.45, reached spot on time. The receptionist tells me the doctor won't see you because she has to leave at 3o'clock. Seriously is this how doctors treat patients? ,  ",300,Dr. Beena Tile,4.5,General Physician
Rising Medicare Hospital,Pune,"MBBS, DNB - General Medicine, Fellowship in Diabetology",10,"This was our first visit to Dr Anuj Surana. Can't say much but yes, what I observe is.., polite. He seems honest to his profession. He listens to the patient very calmly,I honestly think that Dr. Anuj Surana is one of the best doctors in Pune .,Truly Such a doctors are in REAL need in today’s world, who understand the patience better in each visit being the patient improvement is very much collaborative process.,He is very friendly doctor ,  He listen to the patients. We will get relaxed mind once we meet him. I recommend this doctor without any comments. ",400,Dr. Anuj P Surana,5.0,General Physician
Dr. Upadhyay's Clinic,Pune,"MBBS, MD - Aviation Medicine",34,"No waiting time, good explanation about the underline cause and friendly doctor. Would recommend the doctor to other as well.,Sir was good and experienced one. Overall good experience we have.. We are less stressed after meeting him and hoping for speed recovery. ,I have visited for doctor counseling for my Father in law health problems, after his consultation and medication he got relief. Very good Doctor and friendly ,A very calm person who will make you comfortable on the very first interaction whatever be the disease is. Our whole family takes regular consultation from Doctor Upadhyay and we are very satisifed and rush to him without any second thought whenever is required. He is very friendly and explains in details with proper medication.",500,Dr. Arunesh Dutt Upadhyay,5.0,General Physician
Apollo Clinic,Pune,MD - Physician,18,"Cure 100%.,Dr. Iistens to our health problems with patience and his treatment includes less medicine and more care. ,what's the point of booking via practo if practo appointments don't matter. you can always just walk in and you will get the same queue time even without taking an appointment. Whole experience felt horrible. ,Horrible  experience mismanaged .no one is valuing the time .the value one gets to his money is patatic",500,Dr. Mukesh Budhwani,4.0,General Physician
Apollo Clinic,Pune,"MBBS, DNB - General Medicine",35,"Very patient and smart. Provides holistic view of treatment and wellbeing., Listens patiently,I would definitely recommend everyone to visit Dr Amita. Gives time to every patient , listens carefully and gives great advices.,Very less time given to patients. Not much questions asked, Straightway suggested for more tests ,She wasn't patient in listening to the problems I was facing. She just recommended me an Allegra for a week of having cold. I would not recommend her to anybody. Waste of money her consultancy is. ",500,Dr. Amita Raina,4.0,Internal Medicine
Apollo Clinic,Pune,MBBS,10,"Experience with doctor was absolutely amazing. ,Great Surgeon ,!! Infrastructure available is excellent at swami Samartha hospital.,Been a good experience overall. Doc was friendly, consulted carefully and explained all the process involves. Did the procedue in no time and was always attentive. Recommended for Surgical Needs., I was very pleased at doctors clinic. ",500,Dr. Vivek D Kulkarni,3.5,General Physician
