Address,City,Degree,Experience,Feedback,Fees,Name,Rating,Specialization
"Calcutta Heart Research Centre,Calcutta Heart Research Centre",Kolkata,"MD - (Med. & Thera.), MBBS",47,"I have visited Dr. Nagori just once yet. He came across as friendly and treatment has helped so far., he is very calm, polite and down-to-earth. His number of years of experience can be seen, as he thoroughly checks his patients giving him/her enough and satisfactory time. He also listens to the patient's problem very carefully and his accuracy and the way of explanation of the problem is also excellent., , I will recommend any patient to visit this Dr. Good experience. Good cheque up. ,Very sweet and polite. I really appreciate his time and effort into explaining the problem and giving the solution. May he live long and continue to treat patients.",1000,Dr. S. B. Nagori,5.0,Cardiologist
Apollo Gleneagles Hospitals,Kolkata,MBBS,34,,1200,Dr. MILAN  CHHETRI,4.0,General Physician
Fortis Medical Centre,Kolkata,"MBBS, MD - General Medicine",30,,1000,Dr. Kumar Kanti Chakravarty,4.0,General Physician
Fortis Medical Centre,Kolkata,MBBS,22,get  satisfactionaly feedback from doctor. Over all everything is better & calm invironment. ,500,Dr. Suchandra Das,4.0,General Physician
Apollo Gleneagles Hospitals,Kolkata,MBBS,28,"I have a great experience when my son has been attacked with flurosis. Though Dr Ashok Choudhury was looking after but Dr Hirak Mazumder has been requested to check for cover up other affect . He has guided us thoroughly and prescribed some preventive medicine. As a result my son has been recovered early and his present lifestyle smoothly.,The doctor was unprofessional. Did not explain anything, , referred to another doctor. Did the checkup in less than 5 mins. ",1200,Dr. HIRAK  MAJUMDER,4.0,General Physician
AMRI Hospitals,Kolkata,"MBBS, FCPS - Medicine",10,"Dear Dr. Vishal,We had visited to Dr Vishal for my mother's health issue for multiple reason. He advised for immediate hospitalisation and saved us from serious implications. Her health is improving and her diabetic foot is healing quickly. Now she is undergoing follow up treatment from Dr. Vishal.,A very humble and polite physician with good clinical eye. Gives time to the patient and examines extensively. Do recommend. ",600,Dr. Shambhu Vishal,4.5,General Physician
"Apollo Gleneagles Cancer Hospital,Apollo Gleneagles Hospitals",Kolkata,"MBBS, MD - Medicine, MRCP (UK)",23,Dr. A. R. Choudhury is very polite and caring too. She had treated me for Asthma and Pneumonia. She explains everything very friendliness.,600,Dr. Sushmita Roy Chowdhury,"3.0,4.0",Internal Medicine
Apollo Gleneagles Hospitals,Kolkata,MBBS,31,"Dr. Debasis Basu is like a God, he is very friendly, his behavior towards the patient will make the patient very comfortable. I had high blood pressure and anxiety, he has treated me well. With the help of his prescribed medications, I am now cured.",800,Dr. DEBASIS BASU,4.0,General Physician
Apollo Gleneagles Hospitals,Kolkata,MBBS,37," Was under his treatment at Appolo Gleneagles where i was hospitalised for from 13th to 23rd Feb 18 for treatment of G B Syndrome.The confidence he exudes to patient made me feel  so comfortable that I am in the right hands. ,He is a kind person.he is very friendly .l'm satisfied with his treatment.for,The doctor sits at the Apollo clinic salt lake. He seems to come late everyday. Fee one of the highest, service standards one of the lowest.",1200,Dr. Amitabha Ghosh,4.0,General Physician
Apollo Gleneagles Hospitals,Kolkata,MBBS,25,,1000,Dr. Arup Kumar Sahu,4.0,General Physician
