Address,City,Degree,Experience,Feedback,Fees,Name,Rating,Specialization
Shree Ayurvedic Multispeciality Hospital,Chennai,"BAMS, Diploma in Acupuncture",36,"Easily reachable. Kind and polite.  Explaining  the nature of disease to the patient is too good.  So friendly.  ,Dr.Jayashree is very friendly. Explains the problem and gives suitable medicine. Medicines are readily available.Does not overload medicines,Visited for thyroid issue tsh drastically reduced in 3 months time. Happy with results, tried various treatments but this really worked out for me.,Very good staffs",750,Dr. D Jayashree,5.0,Ayurveda
Apollo Clinic,Chennai,"MBBS, DNB - Respiratory Diseases",19,"Doctor given confidence and his approach was quite good.,I am extremely satisfied with the consultation. Dr. S Balamurugan was very approachable. He spent maximum time to discuss the issue and diagnosed accurately. The treatment successfully delivered the expected results and I attained great relief from the outcome. The staff also cooperated very well. Since I had an advanced booking, I got my consultation soon after reaching there. Zero waiting time was remarkable.,This is the 1st time I'm visiting Valasaravakkam Apollo Clinic. while on the way to clinic I got call from the clinic to ensure my appointment. after reaching they took basic like BP, weight check up. after that I met Mr.Balamurugan, pulmonologist, within 10 min from my entry to the clinic. he heard and noted my complaints patiently.and checked me. then he suggested medicines including a cough syrup by asking whether cough syrup contain drowsy or normal. I said normal. then he prescribed medicines and asked whether to come for review. he said not necessary and he wrote his no.in prescription and told to call me to his no.and I left from his room and bought medicines in the appollo pharmacy. dr.balamurugan and the staff was very good,  friendly and kind.,I am very much satisfied with Doctor Dr. S Balamurugan treatment for patients illness. Doctor observes what are all symptoms you are saying and based on that he ask more questions to get track into the issue clearly. He quickly analyse inside his mind about our illness and he prescribe only needed medicines. He explains the cause of the issue clearly .His analysis of our illness is accurate and prescription of medicine is accurate.Thank you Doctor ",550,Dr. S Balamurugan,3.5,Pulmonologist
MK Speciality Clinic,Chennai,"MD - General Medicine, MBBS",17,"Thank you for working on weekends particularly on a Sunday when no other doctor seems to be available!, I was recently a patient for uric acid and leg pain. The care that I received was unexpected. The entire Doctor's and hospital staff were extremely caring and professional. ,Doctors here are very experienced and hear to all issues politely.. They are patient and give practical solutions. All doctors are very qualified and consult for reputed institutions, a very inspiring team..",400,Dr. Vasugi,,General Physician
The Apollo Heart Centre,Chennai,MBBS,23,"The experience was nice. Doctor was friendly and made me feel comfortable. Also,the medication she prescribed was not good and did not seem that she is trying to make more money and stuff, which is a case with a lot of other doctors nowadays. ,Dr Subashini listens very patiently and explains you very clearly about the problem and treatment plan.,Listened very patiently to us and gave a spot on diagnosis and remedy. ,Grt doctor , explains everything in detail. Every good reception from the hospital as well.  Highly recommend it. :) ",1000,Dr. Subhashini Venkatesh,,General Physician
Veritas Children's Clinic,Chennai,"MBBS, MD - Pediatrics, DNB - Paediatrics",19,"My kid is always happy going to the doctor ..good results too!!, almost getting solved within the time of dosage he gives or even we can see the positivity result from the 1st dosage itself.. he patiently listen to the problem of the condition and give , treatment.  I am very much satisfied with his treatment.. thank u..,I have been consulting Dr Sreedhar for around 3 years for my daughter. He is a wonderful human with great attitude.  He is very good in his approach and the best part is always reachable. He always listens to patients and takes personal attention till recovery of kids. Hats off for his divinely service. I strongly recommend the doctor. ,Dr has patience to wards his patients and he listens and gets clarity about absolute child illness.",300,Dr. Sreedhar RS,5.0,Pediatrician
"Fortis Malar Hospital,Apollo Spectra Hospitals",Chennai,"MBBS, MD - General Medicine",20,"Dr. behave friendly, this visit for consulting to my father.  he was impressed, mentally he feel perfect at that moment.,I used to consult with Dr. Vinod for more than 7 years whenever i face any health issues. He managed to treat them very well and explain the problem clearly. He had also referred me to few specialists when required. ,I have consulted him twice. On-time consultation was favourable. The treatment was accurate and gave a good result. I am extremely delighted with the overall experience.,Although the wait time was more than 80 minutes, but once the doctor saw me, I was satisfied. He patiently listened to my problems and gave best possible consultation. I would recommend Dr. Vinod to everyone. ",500,Dr. Vinod Prem Anand,"4.5,4.0",General Physician
"The Apollo Clinic,Fortis Malar Hospital",Chennai,"MBBS, MD - General Medicine",35,"I have taken a single consultation from him. He prescribed some medications,He has informed me to go for a follow up if the problems still persist. But I am satisfied with the results as of now. There was around half an hour of a waiting period. Everything was good and comfortable during the consultation.,Very patient and, impressed with his care   ,listens to patient intently and in detail. Explains the problem well. ,I went for my gas, acidity and loose motion problem. Dr did endoscopy and prescribed 1month medicine. ,I went 2nd times, but Dr didnt listen carefully",500,Dr. S Ganesh,"4.5,4.5",Internal Medicine
"Apollo Speciality Hospital,Apollo Sugar Clinic",Chennai,"MBBS, MRCP (UK), Diploma in Child Health (DCH)",7,"Doctor reads the condition well, listens to us completely and gives the required treatment/review comments,This time I came with my husband.he exposed my laziness to doctor.she advised me which gives more pressure to do exercise ,Very good and friendly Dr and she will understand about the problem and she will explain about the treatment she is planning etc. She will thoroughly listen to patient's problem and then she will collect all necessary info from patient and after that only she will start her treatment.",600,Dr. Akila Mani,4.5,General Physician
Derma Med Spa the Skin Clinic,Chennai,"MBBS, Diploma in Dermatology, Diploma in Venereology",24,"She is too friendly with the clients and explaining each problems specifically.Treatments also too good and not that much costly too.I will suggest my friends about this clinic.Thankyou Derma med spa😊,When I visited the doctor, I was Norwood 3. Now, I have no problems with hair fall. In fact, whatever hair I had lost, has completely regrown and it shows!,The patient was examined only like 2-3 mins and got 500₹ without even looking for 10 mins ! She also told she will not cure this",500,Dr. Gayathri Devi,4.0,Dermatologist
Apollo OMR,Chennai,MBBS,46,"Doctor right away said issue w/o looking at CT, perfectly. Suggested and did Septoplasty to avoid future issues. Does not talk much or friendly but will answer any questions and will be solution to our problem. Did surgery without any problems and i am recovering well. Review after surgery is good. Very well experienced with good hands, so please don't bother about friendliness, he is not our friend but a doctor. As it is Apollo should expect high costs which came in, usually. Overall my experience been very good with Dr KK and also with Apollo.,Explained my problem in detailed and need to meet him second time after sleep study. To my view seems to be senior good doctor,This guy was not at all friendly and in fact very rude and does not even bother listening to the patients problems completely and comes to the conclusion right away. He lets his assistants speak and gets involved in his mobile and wasn't even listening to my complaints. He should understand that patients are not paying him the consultation fee for him to check his mobile. I have been looking for options for the past 7 years to treat my paranasal sinuses disease but i have never had such poor experience with any of the doctors. 3110 rupees for one time check up which includes his consultation fee and a 30 second nasal endoscopy",700,Dr. Krishna Kumar K,4.0,General Physician
Apollo Spectra Hospitals,Chennai,MBBS,58,,500,Dr. B.Krishna Rau,4.0,General Physician
DakshinPanacea Health Llp,Chennai,"MBBS, MD - General Medicine",26,"A highly-professional and sensible medical professional, whose services I would most gladly recommend to Anyone! Plus, a very friendly receptionist, and, with the clinic located in a snug area, it altogether combines to produce a most calming, reassuring environment! 😇😇😇👍👍👍,Examines the problem very well. Does not prescribe medicines unnecessarily. Takes enough time to listen to our concerns. I went with a clot in my leg that was troubling me for a week and at one point I couldn’t walk anymore. He examined my feet thoroughly and asked me for the possible situations that would have caused this. He just asked me to soak my legs in hot water twice everyday and come back after a week if the pain persists. In 2 days the clot vanished and he didn’t charge a penny. When asked he said “I didn’t give you any medicines let’s see next time if the pain still persists!!” I was surprised. A very genuine person. Highly recommend.,He is very friendly and carefully listened to the issues.I would definitely recommend the doctor.Thanks,Dr. Subash is a hero! He has diagnosed and treated my friends, family and me over the years and we are very grateful to him. ",500,Dr. U. Subash Rau,5.0,General Physician
"Fortis Malar Hospital,Apollo Spectra Hospitals,Apollo Spectra Hospital",Chennai,"MBBS, MD - General Medicine",28,"Went for treatment of giddiness for my husband. Was good diagnosis and referral. Diagonised as vertigo and suggested more tests for confirmation. Overall good experience.,Doctor is understanding and considerate. And cares about his patients well-being.  Doesn't not give Unnecessary medicines. ,for a 10 am appointment he arrived at 10.45 am,and waited for my feedback to come to conclusions ",700,Dr. Pravin K Aggarwal,"4.5,4.0,4.0",Internal Medicine
Apollo Hospital,Chennai,"MBBS, DPM (Psychiatry), M.D. (Psychiatry)",31,"Hi,  I have a lot of experience with various doctor this is the new type of experience with me and my spouse I already  a member with Appollo pharmacy more than 2 Years Thanks for your service ,Good doctor, who tried to understand the issue and addresses too. Additionally, his personal clinic is very near to the Apollo hospital and visiting him in his clinic will save your money.",400,Dr. T V Ashokan,3.0,Psychiatrist
Fortis Malar Hospital,Chennai,"MBBS, MD - General Medicine",32,"The treatment given was relatively satisfactory. But the doctor didn't give sufficient time for the consultation. After waiting for half and an hour or so, I was not given much time to discuss the issues. Moreover, I had been there with my 80 years old mother and it was highly disappointing for not able to get a complete consultation. I know he is a very busy doctor but I expect them to have little patience towards the patient. So, particularly at this part, I am not satisfied with him ,I am very much satisfied to meet a righteous doctor where my diagnosis and treatments really went well and now I am under Home Care treatment which was also suggested by the same doctor. I would surely recommend him.,Dr Srinivas is very friendly. Patiently listened to me and suggested remedies",500,Dr. V Srinivas,4.5,General Physician
Fortis Malar Hospital,Chennai,"MBBS, MD - General Medicine",55,Dr Bellarmine is very experienced in the field and gave my family the confidence to proceed with the treatment,700,Dr. Bellarmine,4.5,Internal Medicine
Apollo Medical Center,Chennai,MBBS,23,"Appointment was timely. Doctor's approach towards the patient and the explanations given were extremely satisfactory. Very patient friendly. Highly satisfied.,Good observation. Good explanation of doubts. Clarifies everything clearly. Over all experience is good. ,I do recommend this doctor. He is patient & kids friendly. He do analysis and explain the issue & recommendations  clearly.,Dr Harish is very kind to us.He provides the suitable vaccination for the child . Thanks a lot sir & we are satisfied with your treatment.......",700,Dr. Harish V S,3.5,General Physician
Omr Doctor Plaza &  Livia's Diabetes Centre,Chennai,"Post Graduate Diploma in Diabetology (PGDD)(Madras Medical College), MBBS",17,"Professional and outspoken. Will definitely recommend to others.  From appointment booking to consultation , All went so hassle free.,She is friendly , explained issues very well .visited for my father and explained very well for lifestyle change,food and medicine,Visited for Viral throat infection and fever. Doctor listened to all the symptoms patiently and diagnosed the ailment. Very friendly and made me feel comfortable.,She advises the best .. the new location is good and has all facilities..fees is nominal and friendly staff ",300,Dr. Amala Florida,,Diabetologist
Apollo Speciality Hospital,Chennai,"MBBS, MD - General Medicine",17,"Doctor is so nice.very friendly.we can explain our problems freely with him.I recommend him bcoz of his friendly approach.,Like friendly he given some advice ",600,Dr. T K Shanmugaraj,4.5,General Physician
Chennai Medical Centre,Chennai,"MBBS, MD - General Medicine",40,"doctor is very friendly and explain about the disease patiently ... he is caring about his patient .. ,He is very friendly and taking care of his patients very well till they recover fully. Fully satisfied with his treatment.,Doctor was friendly and took a thorough examination of mine and explanation of what exactly the problem.,. Once we go meet him with any health issues. Dr. Thomas George diagnosis it so well and he would tell you I feel this would be the problem and the test would also be almost similar. Our complete family meets him for almost 23 years for any health issues and we all feel that once we meet Dr. George we are on safe hands. Since he would diagnose and would prescribe the correct medicine for Ur ailment. I really feel great that we have met such an excellent  Doctor. God bless Dr.George for his efficient service.",600,Dr. Thomas George,4.5,General Physician
Apollo Medical Center,Chennai,MBBS,18,"Very professional but friendly. Understood the issue. Understood my previous medication. Provided appropriate changes and prescription ,Apollo did not had sufficient receptionist and the only receptionist who was attending us made us wait longer than required. Its advised to visit doctor's clinic. ",700,Dr. Durga Damodaran,3.5,General Physician
Apollo Children's Hospitals,Chennai,MBBS,54,,600,Dr. Radha Rajagopalan,4.5,General Physician
