Address,City,Degree,Experience,Feedback,Fees,Name,Rating,Specialization
"Relief Clinic,Continental Hospitals",Hyderabad,"MD - General Medicine, MBBS",13,"Felt happy with the treatment and discussed in detail regarding the condition.,Recently  my husband had chikungunya like illness n me suffering vt  URTI,v visited Dr Venkatesh @ Relief clinic..he explained n counseled very clearly about treatment part.,much experienced physician  ..I do refer to all..Moreover  v got well very soon.,Spent more than 2000 rs for consultation and teats,.And doctor also did not clarify the root cause of my condition.,The doctor prescribed a bunch of tests, and did not explain the results. Very old way of working. You have to visit again to show the report, you can't email the report. His staff is extremely non co-operative. I went with my 80 yrs old father and the sister was extremely arrogant, and i had to go again for the follow up. When I asked to give a contact information on which i can send out the report, the sister said she will call, but she never called. ",500,Dr. Venkatesh Billakanti,"5.0,3.5",General Physician
Medione Family Clinics,Hyderabad,"MD - General Medicine, MBBS",9," He has good patience and not frustrated. He heard about all difficulties and slowly started to explain and described medicine . He is ready to accept all doubts from my side and replied frankly.  Society need this types of attitude from doctors ...I refer this doctor to every one...,Patiently listen to issues. Goes to the root cause and explains well. Minimal medication which is required for disease. ,Doctor listens the problem very patiently and gives use proper medications and explain why the problem arised. ,The doctor is very cool.. He explains very patiently. Not in a hurry burry like other ones. I am impressed with his attitude.",300,Dr. Kolkunda Vijay Kumar,5.0,General Physician
Apollo Medical  Center,Hyderabad,"MBBS, DNB - Family Medicine, Post Graduate Diploma in Maternity and Child Health (PGDMCH)",16,"I was suffering from dry cough and throat pain for almost a week and finally decided to meet a doctor. I trusted good reviews about Dr.Neelwanti Soni and got her appointment. She was a bit reserved and did not really give much insights into the issue I had and why it persisted so long, But the medication she gave worked like a charm and I started getting better in a day.  While I would definitely appreciate the doctor be more conversations with patients and explaining the issue they had in detail, I still would recommend the doctor definitely.,Doctor is really good in understanding the problem of the patient so fast and also the medicines are also worked really well..only negative I found is she could have spent some more time listening to patients ,Doctor was very empathetic and did the diagnosis very quickly as I told my medical problem.She has very strong medicines knowledge and skills.I got relieved and feeling better after taking the medicines prescribed by her.,Dr. is really . we are happy with her consultation. she described all the issues in detail. She answered all our queries.",450,Dr. Neelwanti Soni,4.5,General Physician
Jayaa Hospital,Hyderabad,"MBBS, Diploma in Anesthesiology, DNB - Orthopedics/Orthopedic Surgery",19,"Very friendly, explains clearly, responds very quickly at any time. Got relief from the pain, good to go with doctor.,Doctor Ramu is  very friendly nature man and we are much satisfied with treatment. ",400,Dr. P. Ramu,4.5,Spine And Pain Specialist
Aster Prime Hospitals,Hyderabad,"MBBS, MD - Anaesthesiology",24,I got relief of my shoulder pain. Doctor gave me nerve block. she explained me about the cause of my pain in the shoulder and explained shoilder excercises.,600,Dr. D.Uma Sreedevi,4.0,General Physician
Apollo Hospitals,Hyderabad,"MBBS, DNB - General Medicine",18,"  Explained everything very clearly.  Made sure I was comfortable 1st and then explained how to overcome my health problems. ,Very nice doctor, he will listen to patient problems with Patience and explain the root cause of the issue , He will try to save your money ,You no need to wait much if you be there on your appointment schedule. ",600,Dr. Srinivas Yadavalli,4.0,Internal Medicine
Zoi Hospitals,Hyderabad,"MBBS, MD - General Medicine",12," value of money , have much patience to explain any problems, medication in simple method to use in regular time,Dr Ahmed Mohiuddin referred by my friend, I liked his treatment style, he has spent good time with the patient, explained what is diabetes what to take in diet how use insulin what is the benefits of insulins.,When he talks it touches heart. ",300,Dr. Ahmed Mohiuddin,5.0,General Physician
"Vicinity Multi-Speciality Clinics,Humain Health",Hyderabad,"MBBS, DNB - Family Medicine",9,"Doctor Vikram is very helpful. He gives proper attention to the patient. I visited him for my mother once. After that, due to emergency, I had to admit her in another hospital. Even when my mother was in another hospital, Dr. Vikram helped a lot in understanding the problem and consultation. His recommend medicine for diabetes and BP helped my mother a lot. , ,I visited the hospital,  and very much happy with the treatment orovided and explaining about the issue.  Very much impressed. ,Treats patients with care and he is very much polite, patience to listen to the problem.I recommend Dr.Vikram,Excellent in all aspects!! Friendly, patience while asking about health , correct guidance,sincere, no extra tests recommend, value money, all the good qualities he has as a doctor and human being!!...",400,Dr. Vikram Cheryala,5.0,General Physician
Udai Omni Hospital,Hyderabad,"MBBS, MD - General Medicine",29,"The doctor is immensly friendly. has a nag for solving the fears in a whilst.  I was scared that my fever was not related to anything serious but the Dr Lal knows about the cases too well. all he did was prescribe a few medicines and i was well in a week's time. Thanks to him.i recommend him to everyone,It was very short time consultation not that great,  it was OK, Doctor wanted me to go for  some other test, but i felt it was not that much big problem, and i did not go there, but the medication he give it was good for my problem.",600,Dr. Lal Udai,4.5,General Physician
New Life Speciality Homeo Care,Hyderabad,"MBBS, M.F. Hom, Fellowship in Diabetology",47," listened all my issues and started treatment for the same from the last month visit. Which really helped me to recover from the chronic pains which were there from the past 10 years. Using lots of allopathi medicines which were temporary relief.,My name is Rohan Agarwal,18 years. For the last 4 years I have severe back  ache. On taking expert treatment I was given pain killers . In the last 10 months my situation became worse and I started getting pain in the shoulders, knees  In addition  to back ache. Expert doctor advised me to take blood test and it was confirmed that  I am HLA-B27 positive.  Which means I have a disease known as Ankylosing Spondylitis which has bought no cure which I confirmed from the internet. The expert doctors advised me to do  regular physical therapy for life long and some vitamins .,My name is P nanikyam. Age 51.,The doctor is very friendly and understanding. He patiently listened to the issue and has given the treatment medicines.  I will be beginning the treatment and will post the review again post noticing any postive changes. ",500,Dr. Subhash Chander,4.5,Homoeopath
K&H Personalized Medicine Clinic,Hyderabad,"MBBS, Diplomate of American Board of Internal Medicine (Internal Medicine)",16," Very pleasant place. She even guided me on my diet. Totally recommend !!,Very Friendly Doctor.Best Nutritionist.Her Dietary plan worked well for me and I feel very comfortable with my body and food habits now. Thank you Dr. Hima Challa,I have metabolic disorders and high blood pressure. I have been taking treatment since a couple of years now but there was no improvement in my health. After meeting Dr. Hima Challa I got to know the root cause for my condition thru gene test suggested by her. She also changed my medication (which didn’t work for my body all these days). Now I pretty much fine and my blood pressure is also under control. I can’t thank enough Dr. Challa for taking personal care of my health and coming up with a fantastic health plan that is exclusively made for me.,I Visited K&H Personalized Medicine Clinic after reading about it in newspaper. i had a heart stroke last year, got 2 stents. I also have diabetes since 10 years. After the insertion of cardiac stents, i was on medication. but due to the side effects of the medicine, i started to get infections very frequently and i have to rush to the doctor every alternate day at least for 3 months. After Knowing about Genomic Medicine and K&H Clinic, I met Dr. Hima Challa, who spoke to me about an hour and inquired everything about me like my eating habits, life style, family health history, looked at my reports and suggested me for a Whole Exome Test. After the results , She suggested the medicine, diet and lifestyle that suits well for my body. I have been using her suggested medicine since 2 weeks and i found no side effects or infections. Thanks to Dr. Hima for not only suggesting medicine for my current condition but also for finding future risks and giving preventive care. I highly recommend Dr. Hima Challa . ",1500,Dr. Hima Challa,5.0,General Physician
Apollo Clinic,Hyderabad,"MBBS, MD - General Medicine",20,"He is very good , listens to patients problem,Friendly doc,explained the issue very well. The doc took time to understand the case and gave the us a lot of assurance. My 82 year old mother in law approved of the attitude of the doctor.  Thank you.",500,Dr. Manoj Kumar Dash,3.5,General Physician
